id,rank_aggregate,president
16,1,Abraham Lincoln
32,2,Franklin D. Roosevelt
1,3,George Washington
26,4,Theodore Roosevelt
3,5,Thomas Jefferson
33,6,Harry Truman
28,7,Woodrow Wilson
34,8,Dwight D. Eisenhower
35,9,John F. Kennedy
40,10,Ronald Reagan
11,11,James K. Polk
36,12,Lyndon B. Johnson
7,13,Andrew Jackson
5,14,James Monroe
4,15,James Madison
2,16,John Adams
44,17,Barack Obama
42,18,Bill Clinton
25,19,William McKinley
6,20,John Quincy Adams
24,21,Grover Cleveland
41,22,George H.W. Bush
18,23,Ulysses S. Grant
38,24,Gerald Ford
27,25,William Howard Taft
39,26,Jimmy Carter
30,27,Calvin Coolidge
21,28,Chester A. Arthur
37,29,Richard Nixon
20,30,James A. Garfield
8,31,Martin Van Buren
19,32,Rutherford B. Hayes
12,33,Zachary Taylor
23,34,Benjamin Harrison
31,35,Herbert Hoover
10,36,John Tyler
13,37,Millard Fillmore
43,38,George W. Bush
17,39,Andrew Johnson
9,40,William Henry Harrison
29,41,Warren G. Harding
14,42,Franklin Pierce
15,43,James Buchanan